id,name,popularity,followers,genres
2xK6qcvfXuFFbU0NL95aeo,Thịnh Suy,53,732993,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
0gGd4WhPXBSgDX6fdOHcOw,Rhymastic,53,700681,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']"
5Kh0ta0UY4uJ4g2CIdq9V9,Phương Ly,53,588564,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse', 'vietnamese lo-fi']"
0iqum9KAHh3LkgDhuqvTxM,Song Luân,53,59490,"['v-pop', 'vinahouse', 'vietnamese hip hop']"
1n9JKdEdLxrbgJiqz1WZFJ,Tăng Duy Tân,54,327371,"['v-pop', 'vinahouse', 'vietnamese lo-fi']"
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),52,193867,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']"
6oqtpFuvCTISMPeGv6P2sj,Bùi Công Nam,52,52600,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
40JnMfFlpwqBnWitkL96g4,Isaac,52,203726,"['v-pop', 'vietnamese hip hop']"
0tBmmwc8j8zbJxISwdsvjA,Andiez,52,387085,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
0IdAjS2LRieBR3gzoazdAw,MIN,53,1081314,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vietnam indie', 'vinahouse']"
4cLYlDISnWaErAitB8kRph,Quang Trung,51,61257,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']"
0zo8kCJVktn7oPnzpkbC2p,14 Casper,51,82447,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']"
1oD9fKbb7qQ2nhn9JJC24F,Thắng,51,230250,"['vietnam indie', 'v-pop', 'vietnamese hip hop']"
3Tehj7YghQc7zH0I1faGc6,BigDaddy,51,266803,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']"
3E6LGptA8lBEXPHAQCE3vr,Kai Đinh,51,85997,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
0r63ReVRjxrS4ATbLrdcrL,Hoàng Thùy Linh,54,883603,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']"
3Ufoo4BPShhahtCSjgpBLP,Hứa Kim Tuyền,51,147832,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
1OIYKbmhG0RxPXvVPNj3NN,Madihu,50,266097,"['v-pop', 'vietnam indie', 'vietnamese hip hop']"
3mibIJiduF0MVLLAvHZAxw,Noo Phước Thịnh,51,812332,"['v-pop', 'vinahouse', 'vietnamese lo-fi']"
3nGqUwkJHiLPDECMVrX1Sq,Masew,51,647400,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnamese lo-fi', 'vietnam indie']"
2Bwp23pD4UVsSkchHDZw4F,Karik,51,466900,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
7LLfmKhGZI11XO0dO4xDI7,Anh Tú,50,185960,"['v-pop', 'vietnamese hip hop']"
3euFcFd5Dc7JAz6t7oKg7m,BMZ,50,9244,"['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
35HU1GT1q797EwZsP8uduO,Mr.Siro,50,1117994,"['v-pop', 'vinahouse']"
4YkqEuVf1Jf2x2XDqJ2CvC,Tóc Tiên,50,278233,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese bolero']"
5zT1Ku9mzzl6RW5y4z0hUK,Minh Huy,49,31030,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']"
2Gvp79Cmni6PX13CAlSGex,Bùi Anh Tuấn,50,344194,"['v-pop', 'vietnamese lo-fi']"
56YvnYcOAPPIuSwoZ6uoBP,DT TAP RAP,49,61741,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
4R3mugkUqCALXgkwSptTbg,Đạt G,49,482703,"['v-pop', 'vietnamese hip hop', 'vinahouse']"
70ULEgr5A3zBL12foM4bnj,Vũ Phụng Tiên,49,50523,"['v-pop', 'vinahouse', 'vietnamese hip hop', 'vietnamese lo-fi']"
14W31zJumZnGDgZuPXclTJ,Thanh Hưng,49,160762,"['v-pop', 'vietnamese lo-fi', 'vinahouse']"
6xRZoWlE9twEkMC5NW4Z9f,Hoàng Tôn,49,277863,"['v-pop', 'vietnamese hip hop', 'vinahouse']"
4x1fUORHa2EsxrQ6ZzAoQ0,SUNI,49,299308,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
0aNyWetkjBvIdZvJY00yEa,Phan Mạnh Quỳnh,49,1029672,"['v-pop', 'vietnam indie']"
5GBXwBVQufRCmwI1bNRIUo,Only C,49,563549,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnamese lo-fi']"
6tWaQSIL7reD85PKStNk28,Kha,48,178466,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop', 'vinahouse']"
5fa13NJjmn2uQ3dxZDi2Ge,Bích Phương,49,1219183,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
5UNWQJdUbO8Gbg9Qn3r52M,Touliver,49,191503,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']"
1CWwyDPjCowRTO4p6A7r6g,Mỹ Tâm,49,1974560,"['v-pop', 'vietnamese bolero', 'vietnam indie']"
1nX1HVIUo1Zfs3e2v3lFb9,Changg,48,156511,"['v-pop', 'vietnamese lo-fi', 'vietnamese hip hop', 'vietnam indie']"
