album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
Heaven Or Hell,album,74,['Don Toliver'],1,154424,False,7AzlLxHn24DxjgQX73F9fU,No Idea,78,12,2020-03-13,[],1084671882.0
After Hours,album,83,['The Weeknd'],1,237520,True,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,73,10,2020-03-20,[],1007475159.0
ITAEWON CLASS (Original Television Soundtrack) Pt. 12,single,57,['V'],1,214258,False,3Wno87vVBVbSVS2vUUFuKC,Sweet Night,66,1,2020-03-13,['k-pop'],408498179.0
For Abby,single,64,['JAWNY'],1,135581,False,6FfLg6FFqhCsrFOaHIGkg0,Honeypie,74,10,2020-10-27,['bedroom pop'],473880778.0
folklore,album,82,"['Taylor Swift', 'Bon Iver']",1,285634,False,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),75,4,2020-07-24,['indie folk'],871847308.0
After Hours,album,83,['The Weeknd'],1,198266,True,6bnF93Rx87YqUBLSgjiMU8,Heartless,75,7,2020-03-20,[],1076985259.0
evermore,album,73,['Taylor Swift'],1,244000,True,0sY6ZUTh4yoctD8VIXz339,champagne problems,72,2,2020-12-11,[],715563667.0
Rare,album,70,['Selena Gomez'],1,206458,False,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,76,4,2020-01-10,['pop'],1316638141.0
Baby Sleep Music,album,75,['Lullaby Time'],1,106084,False,5UAN29M5pGWHmD0MkzxOIM,Brahms Lullaby,76,1,2020-06-19,['lullaby'],207940188.0
回:Walpurgis Night,album,57,['GFRIEND'],1,199133,False,49EywdY1mHFj27OY7U8Y2d,MAGO,64,1,2020-11-09,['k-pop'],148651056.0
Nectar,album,71,['Joji'],1,180018,False,4VQH4VluDUOsOuDxccTeyN,Sanctuary,72,8,2020-09-24,[],691787607.0
The Lo-Fis,album,74,['Steve Lacy'],1,178328,False,0f8eRy9A0n6zXpKSHSCAEp,Infrunami,79,8,2020-12-04,[],556484229.0
folklore,album,82,['Taylor Swift'],1,255893,False,1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,77,5,2020-07-24,[],634997830.0
SAVAGE MODE II,album,75,"['21 Savage', 'Metro Boomin']",1,193591,True,6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,76,3,2020-10-02,[],780487444.0
Shoot For The Stars Aim For The Moon,album,74,['Pop Smoke'],1,160000,True,1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,75,15,2020-07-03,"['new york drill', 'drill', 'brooklyn drill']",1235227068.0
Small Town Boy (Track By Track),album,62,['Duncan Laurence'],1,185146,False,1J14CdDAvBTE1AJYUOwl6C,Arcade,72,13,2020-11-12,[],1325566100.0
Kid Krow,album,79,['Conan Gray'],1,185773,False,6KfoDhO4XUWSbnyKjNp9c4,Maniac,73,3,2020-03-20,[],922852191.0
Future Nostalgia,album,76,['Dua Lipa'],1,183290,False,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,78,2,2020-03-27,['pop'],2852997950.0
Love Goes,album,71,"['Sam Smith', 'Normani']",2,171029,False,3xgT3xIlFGqZjYW9QlhJWp,Dancing With A Stranger (with Normani),74,1,2020-10-30,['soft pop'],1468073751.0
To Let A Good Thing Die,album,65,['Bruno Major'],1,162797,False,1lORkxEMmsCZqhoxcmk3A3,Nothing,71,3,2020-06-05,[],420964811.0
Plastic Hearts,album,73,['Miley Cyrus'],1,196453,False,1daDRI9ahBonbWD8YcxOIB,Angels Like You,78,3,2020-11-27,[],1100047909.0
TAKE TIME,album,72,['GIVĒON'],1,260776,False,6qBFSepqLCuh5tehehc1bd,Like I Want You,74,7,2020-03-27,['r&b'],454198309.0
