album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
迷失幻境,single,45,"['IN-K', '王忻辰']",185,1,156649,False,1UbwQEeBGvmSsJrnfEoaU1,False,True,迷失幻境,55,1,track,2020-09-29,"['chinese r&b', 'gufeng', 'c-pop', 'mandopop']"
minor,single,74,['Gracie Abrams'],184,1,167538,False,4nyF5lmSziBAt7ESAUjpbx,False,True,"I miss you, I’m sorry",82,5,track,2020-07-14,[]
Music To Be Murdered By,album,72,"['Eminem', 'Juice WRLD']",179,1,210800,True,7FIWs0pqAYbP91WWM0vlTQ,False,True,Godzilla (feat. Juice WRLD),80,7,track,2020-01-17,"['rap', 'emo rap', 'melodic rap', 'hip hop']"
少年,album,48,['梦然'],185,1,236114,False,56XaEf9Mo2Njaxa9TIn5LR,False,True,少年,57,1,track,2020-03-20,"['c-pop', 'mandopop']"
ITAEWON CLASS (Original Television Soundtrack) Pt.2,single,50,['Gaho'],184,1,202440,False,5TeDIQrpwWtLWaFfzLH0hh,False,True,시작,60,1,track,2020-02-01,['soundtrack']
Kaikai Kitan / Ao No Waltz,album,60,['Eve'],184,1,221426,False,6y4GYuZszeXNOXuBFsJlos,False,True,Kaikai Kitan,69,1,track,2020-12-23,"['vocaloid', 'j-rock', 'j-pop', 'anime', 'japanese indie']"
THE ALBUM,album,65,['BLACKPINK'],55,1,180956,False,6bvZRLLkBKkmgpBJTTj3QK,False,True,How You Like That,65,1,track,2020-10-02,['k-pop']
Flower,single,53,['DANIEL'],185,1,297591,False,4gAIUEY7VkeiKQOPwIYaYb,False,True,Lily of The Valley,63,1,track,2020-02-14,[]
Heaven & Hell,album,75,['Ava Max'],185,1,162398,False,7a53HqqArd4b9NF4XAmlbI,False,True,Kings & Queens,77,3,track,2020-09-18,[]
CALM,album,69,['5 Seconds of Summer'],184,1,205502,False,3NxWJWftvkstyxvb1pZlFo,False,True,Teeth,76,5,track,2020-03-27,[]
Rare,album,70,['Selena Gomez'],179,1,194900,False,63mdJr3NMY3wReOkNE6c6W,False,True,People You Know,72,7,track,2020-01-10,['pop']
勇气,single,47,['棉子'],185,1,241711,False,5rY7xc2h5Imj6iFn97h8Qj,False,True,勇气,58,1,track,2020-03-22,"['gufeng', 'c-pop', 'mandopop']"
Future Nostalgia,album,76,['Dua Lipa'],181,1,203807,False,39LLxExYz6ewLAcYrzQQyP,False,True,Levitating,73,5,track,2020-03-27,['pop']
Whole Lotta Red,album,77,['Playboi Carti'],184,1,193234,True,29TPjc8wxfz4XMn21O7VsZ,False,True,Sky,77,19,track,2020-12-25,['rage rap']
eight,single,53,"['IU', 'SUGA']",184,1,167573,False,0pYacDCZuRhcrwGUA5nTBe,False,True,eight(Prod.&Feat. SUGA of BTS),63,1,track,2020-05-06,"['k-pop', 'k-ballad']"
"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",compilation,65,"['Rosa Walton', 'Hallie Coggins']",184,1,246652,False,7mykoq6R3BArsSpNDjFQTm,False,True,I Really Want to Stay at Your House,72,5,track,2020-12-18,[]
Let's Skip to the Wedding,album,67,['Eyedress'],185,1,86739,False,7s5VQqrjBtrBgZL4pEa46S,False,True,Romantic Lover,75,5,track,2020-08-07,[]
STRAY SHEEP,album,64,['Kenshi Yonezu'],185,1,255826,False,04TshWXkhV1qkqHzf31Hn6,False,True,Lemon,67,8,track,2020-08-05,"['j-pop', 'anime', 'j-rock']"
THE ALBUM,album,65,['BLACKPINK'],55,1,192765,False,1GMufNnkKAnPLnqKJ5HHxW,False,True,Lovesick Girls,65,5,track,2020-10-02,['k-pop']
IT'z ME,album,56,['ITZY'],183,1,191242,False,4pspYVQGFHLPEFgQPD1J7e,False,True,WANNABE,65,1,track,2020-03-09,['k-pop']
Future Nostalgia,album,69,"['Dua Lipa', 'DaBaby']",181,1,203064,False,5nujrmhLynf4yMoMtj8AQF,False,True,Levitating (feat. DaBaby),77,12,track,2020-03-27,['pop']
Heaven Or Hell,album,74,['Don Toliver'],185,1,154424,False,7AzlLxHn24DxjgQX73F9fU,False,True,No Idea,78,12,track,2020-03-13,[]
After Hours,album,83,['The Weeknd'],184,1,237520,True,7szuecWAPwGoV1e5vGu8tl,False,True,In Your Eyes,73,10,track,2020-03-20,[]
ITAEWON CLASS (Original Television Soundtrack) Pt. 12,single,57,['V'],184,1,214258,False,3Wno87vVBVbSVS2vUUFuKC,False,True,Sweet Night,66,1,track,2020-03-13,['k-pop']
For Abby,single,64,['JAWNY'],184,1,135581,False,6FfLg6FFqhCsrFOaHIGkg0,False,True,Honeypie,74,10,track,2020-10-27,['bedroom pop']
folklore,album,82,"['Taylor Swift', 'Bon Iver']",184,1,285634,False,4pvb0WLRcMtbPGmtejJJ6y,False,True,exile (feat. Bon Iver),75,4,track,2020-07-24,['indie folk']
After Hours,album,83,['The Weeknd'],184,1,198266,True,6bnF93Rx87YqUBLSgjiMU8,False,True,Heartless,75,7,track,2020-03-20,[]
evermore,album,73,['Taylor Swift'],183,1,244000,True,0sY6ZUTh4yoctD8VIXz339,False,True,champagne problems,72,2,track,2020-12-11,[]
Rare,album,70,['Selena Gomez'],179,1,206458,False,4l0Mvzj72xxOpRrp6h8nHi,False,True,Lose You To Love Me,76,4,track,2020-01-10,['pop']
Baby Sleep Music,album,75,['Lullaby Time'],185,1,106084,False,5UAN29M5pGWHmD0MkzxOIM,False,True,Brahms Lullaby,76,1,track,2020-06-19,['lullaby']
回:Walpurgis Night,album,57,['GFRIEND'],185,1,199133,False,49EywdY1mHFj27OY7U8Y2d,False,True,MAGO,64,1,track,2020-11-09,['k-pop']
Nectar,album,71,['Joji'],185,1,180018,False,4VQH4VluDUOsOuDxccTeyN,False,True,Sanctuary,72,8,track,2020-09-24,[]
The Lo-Fis,album,74,['Steve Lacy'],185,1,178328,False,0f8eRy9A0n6zXpKSHSCAEp,False,True,Infrunami,79,8,track,2020-12-04,[]
folklore,album,82,['Taylor Swift'],184,1,255893,False,1MgV7FIyNxIG7WzMRJV5HC,False,True,my tears ricochet,77,5,track,2020-07-24,[]
SAVAGE MODE II,album,75,"['21 Savage', 'Metro Boomin']",185,1,193591,True,6pcywuOeGGWeOQzdUyti6k,False,True,Glock In My Lap,76,3,track,2020-10-02,[]
Shoot For The Stars Aim For The Moon,album,74,['Pop Smoke'],184,1,160000,True,1tkg4EHVoqnhR6iFEXb60y,False,True,What You Know Bout Love,75,15,track,2020-07-03,"['new york drill', 'drill', 'brooklyn drill']"
Small Town Boy (Track By Track),album,62,['Duncan Laurence'],184,1,185146,False,1J14CdDAvBTE1AJYUOwl6C,False,True,Arcade,72,13,track,2020-11-12,[]
